Customer segment,Year,Seasonal,Weekday Name,Sales Price,Comp Price,MRP,COG,inflation rate,Demand Score,discount rate,Inventory levels,Govt regulations,Expiry days
3,2014,4,Monday,15.24,14.41,18.46,7.74,2,3.55,6,94.22,19.6,85
1,2014,4,Tuesday,11.71,12.65,15.14,4.98,2,1.04,14,87.88,19.6,46
1,2014,4,Wednesday,13.52,12.56,15.73,5.65,2,1.48,12,83.54,19.6,68
3,2014,4,Thursday,10.25,10.93,13.08,5.67,2,7.62,16,77.54,19.6,55
2,2014,4,Friday,13.33,13.76,16.87,7.92,2,2.43,15,74.21,19.6,62
3,2014,4,Saturday,10.48,10.64,13.34,5.14,2,2.84,7,68.21,19.6,73
3,2014,4,Sunday,14.97,14.67,18.52,7.9,2,7.64,11,61.19,19.6,32
3,2014,4,Monday,11.51,11.48,14.06,6.79,2,2.55,8,58.19,19.6,43
2,2014,4,Tuesday,10.02,10.96,12.48,5.33,2,2.57,11,56.85,19.6,60
3,2014,4,Wednesday,12.78,14.05,14.84,5.5,2,4,19,52.51,19.6,66
2,2014,4,Thursday,14.99,13.73,19.07,6.17,2,1.16,19,50.51,19.6,39
2,2014,4,Friday,15.04,16.05,17.62,8.52,2,5.65,16,45.17,19.6,90
2,2014,4,Saturday,11.48,11.88,14.5,6.31,2,8.9,5,38.17,19.6,57
3,2014,4,Sunday,13.29,13.39,16.37,5.51,2,7.8,17,30.83,19.6,49
2,2014,4,Monday,10.37,10.01,12.55,5.82,2,0.58,14,30.83,19.6,54
2,2014,4,Tuesday,12.17,11.17,15.04,5.19,2,0.13,14,257,19.6,82
3,2014,4,Wednesday,10.42,11.23,13.43,4.48,2,0.57,11,251.66,19.6,54
2,2014,4,Thursday,15.08,13.73,18.2,7.71,2,6.42,9,245.32,19.6,55
1,2014,4,Friday,14.42,13.75,17.52,8.02,2,3.84,16,243.32,19.6,37
3,2014,4,Saturday,15,14.03,19.5,7.26,2,1.53,10,240.32,19.6,52
1,2014,4,Sunday,14.52,14.2,18.03,6.55,2,5.45,7,235.98,19.6,34
1,2014,4,Monday,12.79,13.08,15.06,5.97,2,1.06,13,231.98,19.6,59
2,2014,4,Tuesday,11.69,12.36,14.81,6.3,2,3.09,18,230.64,19.6,75
2,2014,4,Wednesday,12.7,13.04,15.4,6.42,2,1.06,10,227.31,19.6,40
3,2014,5,Thursday,12.74,13.28,15.35,5.87,2.1,4.57,6,222.97,19.6,58
2,2014,5,Friday,12.61,11.44,15.57,5.89,2.1,1.09,18,222.97,19.6,81
2,2014,5,Saturday,10.28,9.86,13.18,5.55,2.1,4.74,5,215.63,19.6,83
2,2014,5,Sunday,9.89,9.28,12.33,4.37,2.1,2.88,10,211.63,19.6,39
2,2014,5,Monday,10.32,11.22,12.05,4.84,2.1,2.35,12,209.96,19.6,41
3,2014,5,Tuesday,10.13,11.13,12.86,4.67,2.1,3.16,5,206.96,19.6,56
1,2014,5,Wednesday,9.54,10.19,11.36,4.85,2.1,4.43,15,199.62,19.6,38
3,2014,5,Thursday,10.97,10.54,12.89,5.91,2.1,2.57,7,196.29,19.6,88
2,2014,5,Friday,10.71,10.43,13.42,6.08,2.1,1.96,17,194.29,19.6,67
3,2014,5,Saturday,12.51,13.06,16.11,5.89,2.1,2.12,5,192.29,19.6,90
3,2014,5,Sunday,13.93,14.86,16.65,8.1,2.1,2.7,14,187.29,19.6,32
3,2014,5,Monday,9.36,10.27,11.23,3.96,2.1,2.2,6,185.29,19.6,86
2,2014,5,Tuesday,12.04,11.76,14.47,7.2,2.1,2.28,6,180.95,19.6,66
3,2014,5,Wednesday,10.02,9.43,12.59,5.98,2.1,3.45,7,177.27,19.6,63
2,2014,5,Thursday,12.97,13.02,15.71,6.64,2.1,1.35,8,176.27,19.6,43
3,2014,5,Friday,11.33,10.53,14.39,5.18,2.1,3.3,5,173.93,19.6,87
1,2014,5,Saturday,10.55,10.9,12.27,4.72,2.1,5.18,16,168.59,19.6,75
1,2014,5,Sunday,13.45,13.32,16.57,5.64,2.1,3.96,11,166.25,19.6,31
1,2014,5,Monday,14.29,15.32,17.63,7.2,2.1,2.78,15,162.91,19.6,52
3,2014,5,Tuesday,9.95,10.44,11.88,5.51,2.1,3.42,13,154.57,19.6,62
1,2014,5,Wednesday,11.03,10.04,12.97,5.84,2.1,1.09,15,153.57,19.6,48
1,2014,5,Thursday,11.4,12.31,13.81,5.47,2.1,0.96,11,151.57,19.6,80
2,2014,5,Friday,13.6,12.42,16.59,6.38,2.1,3.73,14,147.89,19.6,33
2,2014,5,Saturday,14.55,14.25,18.74,7.8,2.1,2.72,9,142.89,19.6,50
1,2014,5,Sunday,14.47,13.11,18.44,7.69,2.1,3.91,18,139.89,19.6,75
2,2014,5,Monday,14.98,15.42,18.51,6.22,2.1,3.99,17,137.89,19.6,40
1,2014,5,Tuesday,14.62,14.91,18.74,5.97,2.1,3.47,10,135.21,19.6,52
1,2014,5,Wednesday,12.68,12.52,15.63,7.47,2.1,1.47,14,135.21,19.6,73
3,2014,5,Thursday,11.78,12.28,13.85,5.06,2.1,1.49,5,133.87,19.6,77
3,2014,5,Friday,14.98,15.17,17.84,7.72,2.1,4.99,18,129.87,19.6,75
3,2014,5,Saturday,13.8,14.76,16.69,6.64,2.1,4.48,7,126.85,19.6,77
1,2014,6,Sunday,9.2,9.03,11.35,4.03,2.1,1.84,13,121.18,19.6,90
1,2014,6,Monday,7.7,8.04,9.13,4.2,2.1,0.92,19,120.18,19.6,89
2,2014,6,Tuesday,8.08,8.82,9.93,4.59,2.1,0.47,6,116.18,19.6,44
2,2014,6,Wednesday,9.14,8.32,10.77,5.41,2.1,1.03,5,113.18,19.6,67
1,2014,6,Thursday,8.92,9.5,11.23,4.18,2.1,1.93,8,112.18,19.6,56
3,2014,6,Friday,9.52,9.23,11.31,4,2.1,0.86,8,111.84,19.6,35
1,2014,6,Saturday,8.25,7.46,10.19,3.5,2.1,2.45,14,106.84,19.6,69
2,2014,6,Sunday,8.41,7.61,10.64,3.44,2.1,3.05,9,97.84,19.6,78
2,2014,6,Monday,7.55,7.51,8.84,4.34,2.1,2.61,12,96.84,19.6,43
2,2014,6,Tuesday,11.14,10.44,13.42,5.28,2.1,0.94,8,90.51,19.6,84
1,2014,6,Wednesday,8.82,9.05,10.76,4.61,2.1,4.3,17,81.83,19.6,71
1,2014,6,Thursday,7.02,7.44,9.03,3.26,2.1,3.5,9,77.49,19.6,60
1,2014,6,Friday,9.57,9.55,11.44,5.55,2.1,5.39,6,73.15,19.6,69
1,2014,6,Saturday,7.17,6.61,9.1,3.65,2.1,0.02,12,72.15,19.6,45
2,2014,6,Sunday,10.08,9.87,11.65,5.9,2.1,5.36,15,68.15,19.6,41
3,2014,6,Monday,10.45,9.61,13.38,5.45,2.1,2.12,17,67.81,19.6,68
3,2014,6,Tuesday,9.72,9.6,11.39,4.91,2.1,4.08,8,63.47,19.6,33
3,2014,6,Wednesday,10.68,10.69,12.97,5.98,2.1,6.71,11,58.47,19.6,39
2,2014,6,Thursday,6.89,7.32,7.93,4.01,2.1,0.55,6,56.47,19.6,62
2,2014,6,Friday,8.67,9,11.18,3.66,2.1,3.74,13,53.47,19.6,79
1,2014,6,Saturday,8.99,8.21,11.53,4.45,2.1,2.49,17,46.13,19.6,36
1,2014,6,Sunday,10.61,10.1,12.49,6.23,2.1,4.51,7,40.13,19.6,43
2,2014,6,Monday,8.48,8.92,10.58,3.57,2.1,4.6,6,36.13,19.6,69
2,2014,6,Tuesday,7.77,8.18,9.2,4.63,2.1,3.84,7,33.79,19.6,44
2,2014,6,Wednesday,8.12,7.51,9.54,3.52,2.1,1.07,13,30.79,19.6,46
2,2014,6,Thursday,7.39,6.82,9.18,3.03,2.1,3.41,15,249,19.6,35
2,2014,6,Friday,9.34,10.07,12.07,5.24,2.1,2.03,16,246,19.6,73
1,2014,6,Saturday,8.36,8.79,10.19,3.8,2.1,5.02,12,241.66,19.6,49
3,2014,6,Sunday,7.16,7.34,8.38,3.67,2.1,0.02,5,241.32,19.6,62
3,2014,6,Monday,8.01,8.55,9.33,3.31,2.1,1.96,7,241.32,19.6,61
2,2014,7,Tuesday,14.8,14.86,18.49,7.7,2,7.63,10,235.32,19.6,43
1,2014,7,Wednesday,12.4,13.44,14.53,5.5,2,1.37,16,230.98,19.6,65
3,2014,7,Thursday,9.99,10.35,12.3,5.25,2,3.22,10,227.98,19.6,58
3,2014,7,Friday,12.36,13.36,14.7,6.06,2,0,10,225.65,19.6,76
2,2014,7,Saturday,12.79,11.73,16.01,7.32,2,2.56,11,221.31,19.6,38
2,2014,7,Sunday,11.24,11.31,14,6.39,2,0.57,6,217.97,19.6,78
3,2014,7,Monday,9.76,9.71,12.63,5.41,2,4.82,16,213.97,19.6,68
2,2014,7,Tuesday,11,10.31,12.7,4.81,2,3.72,18,211.97,19.6,61
1,2014,7,Wednesday,12.98,12.85,16.29,5.35,2,5.27,18,205.63,19.6,73
3,2014,7,Thursday,14.68,13.48,17,8.45,2,3.52,14,202.63,19.6,36
2,2014,7,Friday,9.52,10.1,11.14,5.23,2,0.1,6,200.3,19.6,38
1,2014,7,Saturday,11.05,10.57,13.49,5.37,2,3.51,12,198.3,19.6,88
2,2014,7,Sunday,10.38,9.4,12.55,5.39,2,8.01,12,189.96,19.6,40
3,2014,7,Monday,10.65,11.24,13.6,5.54,2,1.29,13,187.96,19.6,80
2,2014,7,Tuesday,9.32,9.5,11.55,5.13,2,5.19,9,182.96,19.6,36
1,2014,7,Wednesday,14.6,15.09,17.74,6.77,2,3.66,5,179.62,19.6,80
1,2014,7,Thursday,10.43,9.56,12.74,4.42,2,1.68,8,175.62,19.6,56
3,2014,7,Friday,10.27,10.29,12.86,5.96,2,3.02,17,173.62,19.6,81
3,2014,7,Saturday,10.43,10.38,12.22,5.88,2,4.27,10,164.62,19.6,66
2,2014,7,Sunday,13.43,12.09,17.22,5.72,2,0.15,12,157.29,19.6,75
1,2014,7,Monday,15.31,15.88,17.79,8.59,2,4.95,17,154.29,19.6,53
1,2014,7,Tuesday,12.27,13.32,15.51,6.87,2,0.81,5,151.29,19.6,60
3,2014,7,Wednesday,9.97,10.84,12.39,5.54,2,5.05,15,146.29,19.6,58
2,2014,7,Thursday,13.84,14.38,16.18,6.7,2,2.29,9,143.62,19.6,89
3,2014,7,Friday,9.85,9.32,12.52,5.66,2,4.31,10,138.28,19.6,70
1,2014,7,Saturday,13.27,14.08,17.05,6.2,2,4.45,18,133.28,19.6,30
1,2014,7,Sunday,14.53,15.44,17.77,6.1,2,5.45,18,129.28,19.6,39
1,2014,7,Monday,10.83,11.1,13.72,4.84,2,1.24,13,126.28,19.6,36
3,2014,7,Tuesday,12.53,12.1,15.79,5.13,2,1.66,6,124.28,19.6,62
3,2014,7,Wednesday,11.49,12.18,13.94,6.57,2,3.58,13,121.94,19.6,70
3,2014,7,Thursday,10.06,9.76,11.92,4.88,2,0.34,6,121.26,19.6,69
2,2014,8,Friday,14.25,13.81,18.21,7.22,1.7,0.78,10,118.26,19.6,72
3,2014,8,Saturday,15.94,15.61,19.37,7.18,1.7,2.29,12,116.26,19.6,69
2,2014,8,Sunday,13.65,14.81,16.68,5.56,1.7,4.39,14,111.26,19.6,84
1,2014,8,Monday,12.62,11.5,14.65,6.04,1.7,4.24,19,106.26,19.6,79
3,2014,8,Tuesday,16.01,16.87,19.32,7.1,1.7,5.53,19,102.26,19.6,68
1,2014,8,Wednesday,13.64,12.62,15.77,7.27,1.7,0.61,19,100.26,19.6,34
1,2014,8,Thursday,10.53,10.29,13.6,4.48,1.7,4.01,13,94.26,19.6,59
1,2014,8,Friday,11.84,11.16,14.94,5.07,1.7,4.59,7,90.92,19.6,58
1,2014,8,Saturday,15.25,15.47,19.49,7.67,1.7,4.91,18,85.9,19.6,56
2,2014,8,Sunday,11.11,12,12.8,5.77,1.7,0.02,9,81.9,19.6,81
1,2014,8,Monday,10.49,9.46,12.65,6.08,1.7,5.49,16,77.9,19.6,56
3,2014,8,Tuesday,12.51,12.23,14.89,6.37,1.7,0.56,13,69.9,19.6,37
3,2014,8,Wednesday,10.93,11.91,13.44,4.94,1.7,0.39,5,69.9,19.6,83
2,2014,8,Thursday,15.22,15.61,19.06,8.85,1.7,3.24,6,68.56,19.6,61
2,2014,8,Friday,12.59,12.99,15.92,6.44,1.7,5.19,10,64.56,19.6,88
2,2014,8,Saturday,12.25,13.11,14.37,5.74,1.7,1.87,14,60.22,19.6,61
3,2014,8,Sunday,11.09,10.98,12.91,5.87,1.7,6.82,19,52.22,19.6,88
1,2014,8,Monday,15.85,16.38,18.77,8.97,1.7,0.71,17,51.88,19.6,81
1,2014,8,Tuesday,14.34,13.1,18.64,7.41,1.7,3.52,10,47.54,19.6,39
1,2014,8,Wednesday,10.85,11.47,12.49,4.69,1.7,0.03,8,36.2,19.6,77
2,2014,8,Thursday,13.09,14.12,15.87,6.91,1.7,4.89,8,30.86,19.6,76
3,2014,8,Friday,13.35,14.06,15.49,6.74,1.7,1.49,14,240,19.6,37
3,2014,8,Saturday,12.26,11.68,14.6,5.47,1.7,0.55,7,233.66,19.6,50
2,2014,8,Sunday,9.75,10.01,11.6,5.21,1.7,2.38,9,230.66,19.6,50
1,2014,8,Monday,15.43,14.46,19.96,9.26,1.7,1.23,17,227.66,19.6,83
3,2014,8,Tuesday,11.47,12.29,14.86,6.14,1.7,5.06,10,223.65,19.6,54
1,2014,8,Wednesday,13.16,12.5,15.59,7.77,1.7,2.73,19,221.31,19.6,74
3,2014,8,Thursday,15.76,14.23,19.66,8.5,1.7,5,6,217.97,19.6,73
3,2014,8,Friday,13.3,12.73,16.23,6.95,1.7,0.81,8,215.63,19.6,62
3,2014,8,Saturday,12.2,12.34,14.58,6.57,1.7,6.11,6,209.29,19.6,82
1,2014,8,Sunday,14.81,13.36,18.38,8.27,1.7,4.56,8,205.61,19.6,79
2,2014,9,Monday,15.33,13.91,18.64,6.84,1.7,0.65,15,205.61,19.6,33
3,2014,9,Tuesday,15.51,16.51,19.79,7.82,1.7,4.11,6,202.27,19.6,79
1,2014,9,Wednesday,10.65,10.29,13.64,6.38,1.7,1.97,10,199.93,19.6,57
3,2014,9,Thursday,10.14,10.01,12.34,4.91,1.7,4.83,7,192.93,19.6,69
1,2014,9,Friday,11.94,13.1,14.75,6.51,1.7,4.94,9,187.25,19.6,86
3,2014,9,Saturday,16.2,17.34,18.89,6.72,1.7,4.61,16,183.25,19.6,31
2,2014,9,Sunday,15.87,14.62,19.37,7.33,1.7,0.38,19,177.91,19.6,70
3,2014,9,Monday,12.71,11.48,15.95,7.56,1.7,0.01,9,175.91,19.6,61
2,2014,9,Tuesday,13.94,14.99,16.09,6.19,1.7,2.44,18,174.91,19.6,39
2,2014,9,Wednesday,16.77,16.81,21.01,9.74,1.7,8.33,7,168.57,19.6,75
3,2014,9,Thursday,11.38,11.66,14.36,6.61,1.7,0.2,8,164.23,19.6,40
2,2014,9,Friday,11.97,10.91,14.14,5.14,1.7,0.15,16,164.23,19.6,42
3,2014,9,Saturday,12.21,12.1,15.23,5.36,1.7,3.42,14,161.55,19.6,30
2,2014,9,Sunday,10.5,11.33,12.56,6.2,1.7,4.51,14,158.55,19.6,77
3,2014,9,Monday,16.06,17.56,18.67,9.53,1.7,3.11,15,157.21,19.6,30
1,2014,9,Tuesday,16.62,18.19,19.22,6.71,1.7,0.69,7,155.87,19.6,66
2,2014,9,Wednesday,13.62,12.47,16.44,6.56,1.7,5.14,7,151.87,19.6,48
2,2014,9,Thursday,11.56,12.07,14.91,6.88,1.7,2.84,12,149.53,19.6,42
2,2014,9,Friday,10.22,10.07,12.29,4.62,1.7,2.27,8,146.53,19.6,52
1,2014,9,Saturday,16.18,17.06,20.83,7.64,1.7,3.61,11,144.53,19.6,52
3,2014,9,Sunday,12.88,12.28,15.55,7.72,1.7,5.45,9,140.19,19.6,41
1,2014,9,Monday,12.04,12.2,14.78,7.01,1.7,0,14,139.19,19.6,60
1,2014,9,Tuesday,11.95,11.7,14.93,6.91,1.7,0.41,9,135.85,19.6,53
3,2014,9,Wednesday,16.15,15.79,19.21,8.8,1.7,0.28,19,132.85,19.6,77
2,2014,9,Thursday,15.64,14.64,18.34,6.67,1.7,2.21,14,126.85,19.6,77
3,2014,9,Friday,14.24,14.42,16.41,5.76,1.7,4.82,6,122.17,19.6,82
2,2014,9,Saturday,16.47,16.6,20.85,8.19,1.7,1.71,9,118.17,19.6,49
2,2014,9,Sunday,11.74,12.37,15.04,5.42,1.7,1.38,17,114.17,19.6,36
1,2014,9,Monday,11.98,11.74,15.55,5.19,1.7,0.82,12,113.83,19.6,79
1,2014,9,Tuesday,12.08,12.93,15.23,4.97,1.7,8.65,8,106.83,19.6,44
2,2014,10,Wednesday,11,10.09,13.11,4.85,1.7,4.66,13,96.83,19.6,72
2,2014,10,Thursday,7.39,7.3,9.21,3.95,1.7,1.04,11,94.49,19.6,30
3,2014,10,Friday,8.37,8.15,10.63,3.92,1.7,1.38,13,92.49,19.6,59
3,2014,10,Saturday,11.85,10.68,14.23,5.08,1.7,1.96,7,88.16,19.6,61
1,2014,10,Sunday,9.95,10.54,12.55,5.8,1.7,4.88,12,83.48,19.6,49
1,2014,10,Monday,9.31,8.57,11.12,4.33,1.7,3.4,10,81.48,19.6,56
2,2014,10,Tuesday,9.19,10.01,11.64,4.33,1.7,7.31,5,76.14,19.6,43
1,2014,10,Wednesday,10.99,11.93,13.89,6.51,1.7,2.79,16,73.14,19.6,78
1,2014,10,Thursday,10.88,11.41,13.27,5.44,1.7,0.18,8,69.46,19.6,63
1,2014,10,Friday,9.52,8.57,12.08,5.17,1.7,2.84,17,68.46,19.6,68
2,2014,10,Saturday,10.07,10.49,11.8,5.72,1.7,5.58,16,64.12,19.6,65
2,2014,10,Sunday,8.97,9.52,11.62,3.73,1.7,2.41,13,60.78,19.6,72
3,2014,10,Monday,7.15,7.8,8.72,3.57,1.7,0.92,8,57.78,19.6,80
3,2014,10,Tuesday,11.58,11.76,14.98,6.23,1.7,1.03,14,56.1,19.6,56
2,2014,10,Wednesday,11.41,10.53,13.74,6.25,1.7,2.4,11,53.1,19.6,46
3,2014,10,Thursday,10.91,11.26,13.51,5.9,1.7,2.89,9,51.77,19.6,81
2,2014,10,Friday,11.39,12.23,14.06,4.6,1.7,6.39,14,44.995,19.6,67
3,2014,10,Saturday,10.5,10.36,13.28,4.77,1.7,1.53,17,41.995,19.6,80
3,2014,10,Sunday,8.26,8.31,10.73,3.89,1.7,2.46,17,37.995,19.6,75
2,2014,10,Monday,7.86,8.14,9.71,4.1,1.7,0.46,17,34.665,19.6,76
1,2014,10,Tuesday,8.04,7.84,10.43,4.37,1.7,1.1,18,31.325,19.6,72
